variant,canonical_locality,ward_name,ward_no,zone
रोहताश नगर वेस्ट,रोहताश नगर वेस्ट,रोहताश नगर,223,शाहदरा नॉर्थ ज़ोन
ईस्ट विनोद नगर मार्केट,ईस्ट विनोद नगर,विनोद नगर,198,ईस्ट ज़ोन
nrelaseca1,narela sector a-1,bankner,2,narela zone
sangamvihar block b,sangam vihar block b,sangam vihar - a,163,south zone
fateh nagar area,fateh nagar,fateh nagar,100,west zone
sitapuree,sitapuri,dabri,117,najafgarh zone
सरिता विहार पॉकेट बी,सरिता विहार पॉकेट बी,सरिता विहार,187,साउथ ज़ोन
हरि नगर एक्सटेंशन बदरपुर,हरि नगर एक्सटेंशन,हरि नगर एक्सटेंशन,183,साउथ ज़ोन
gk 2,gk-2,greater kailash,173,south zone
rohini sector 16 block b,rohini sector 16 block b,rohini-b,22,rohini zone
narela secter a4,narela sector a-4,bankner,2,narela zone
बदरपुर मुख्य गांव,बदरपुर गाँव,बदरपुर,180,साउथ ज़ोन
pitampura c d,pitampura cd,pitam pura,57,keshav puram zone
nithari extension area,nithari extension,nithari,40,rohini zone
सरस्वतीकुंज,सरस्वती कुंज,आईपी एक्सटेंशन,205,ईस्ट ज़ोन
tigri area,tigri colony,tigri,162,south zone
आदर्श नगर वाली गली,आदर्श नगर,आदर्श नगर,15,सिविल लाइंस ज़ोन
lado sarai vilage,lado sarai village,lado sarai,154,south zone
विकासपुरी सी ब्लॉक,विकासपुरी ब्लॉक ए से एम,विकासपुरी,107,वेस्ट ज़ोन
शांति निकेतन एरिया,शांति निकेतन,वसंत विहार,153,साउथ ज़ोन
खिचडीपुर,खिचड़ीपुर,कल्याणपुरी,195,ईस्ट ज़ोन
pandavnagar central,pandav nagar (central),ranjeet nagar,87,karol bagh zone
vasant vihar colony,vasant vihar,vasant vihar,153,south zone
haidarpur,haiderpur,shalimar bagh - a,55,keshav puram zone
साध नगर रोड,साध नगर,साध नगर,138,नजफगढ़ ज़ोन
kakrola villge,kakrola village,kakrola,123,najafgarh zone
netaji subhash place market,netaji subhash place,kohat enclave,61,keshav puram zone
माया पुरी,मायापुरी,हरि नगर,99,वेस्ट ज़ोन
milan cinema delhi,milan cinema area,karam pura,89,karol bagh zone
यमुना विहार ब्लॉक बी रोड,यमुना विहार ब्लॉक बी,यमुना विहार (gen.),232,शाहदरा नॉर्थ ज़ोन
kotla village south delhi,kotla mubarakpur village,kotla mubarakpur,147,south zone
अवंतिका,अवंतिका,मंगोलपुरी-ए,49,रोहिणी ज़ोन
tigri colony delhi,tigri colony,tigri,162,south zone
mauryaenclave,maurya enclave,pitam pura,57,keshav puram zone
कैलाश पूर्व ब्लॉक,कैलाश पूर्व,अमर कॉलोनी,146,सेंट्रल ज़ोन
वेलकम फेज १,वेलकम फेज 1,वेलकम कॉलोनी,224,शाहदरा नॉर्थ ज़ोन
shaheen bagh colony,shaheen bagh,abul fazal enclave,188,central zone
नांगलोई पुराना गांव,नांगलोई गाँव,नांगलोई,34,रोहिणी ज़ोन
लक्ष्मी नगर मुख्य बाजार,लक्ष्मी नगर मार्केट,लक्ष्मी नगर,203,ईस्ट ज़ोन
khelgaon colony,khel gaon,hauj khas,148,south zone
सुभाष विहार कॉलोनी,सुभाष विहार,घोंडा (women),231,शाहदरा नॉर्थ ज़ोन
रणहौला,रणहौला,विकास नगर,109,वेस्ट ज़ोन
jagat puri,jagatpuri (parts),anarkali,208,shahdara south zone
चाणक्य प्लेस वाली गली,चाणक्य प्लेस,डाबड़ी,117,नजफगढ़ ज़ोन
रघुबीर नगर जेजे कॉलोनी,रघुबीर नगर,रघुबीर नगर,94,वेस्ट ज़ोन
seelampur metro delhi,seelampur metro area,seelampur,225,shahdara north zone
gorakh ngr west,gorakh park west,gorakh park,235,shahdara north zone
जाकिर नगर ओखला,जाकिर नगर,जाकिर नगर,189,सेंट्रल ज़ोन
sangam vihar pusta a,sangam vihar block a,sangam vihar - a,163,south zone
rohini secter 24,rohini sector 24,rithala,23,rohini zone
bakhtawarpury village,bakhtawarpur village,bakhtawarpur,5,narela zone
सरिता विहार पॉकेट बी वाली गली,सरिता विहार पॉकेट बी,सरिता विहार,187,साउथ ज़ोन
आर के पुरम सेक्टर 12,आरके पुरम सेक्टर 12,आर.के. पुरम,152,साउथ ज़ोन
dwarka sec 4,dwarka sector 4,madhu vihar,136,najafgarh zone
प्रताप नगर वाली गली,प्रताप नगर,किशन गंज,71,सिटी एसपी ज़ोन
bgumpur village,begumpur village,begumpur,27,narela zone
नवनीति सोसायटी,नवनीति अपार्टमेंट्स,आईपी एक्सटेंशन,205,ईस्ट ज़ोन
प्रशांत विहार वाली गली,प्रशांत विहार,रोहिणी-सी,51,रोहिणी ज़ोन
west azad ngr,west azad nagar,azad nagar,214,shahdara south zone
राम दास नगर,गुरु राम दास नगर,शकरपुर,202,ईस्ट ज़ोन
sarita vihar f block,sarita vihar pocket f,sarita vihar,187,south zone
rani bagh market delhi,rani bagh main market,rani bagh,60,keshav puram zone
meenabazar,meena bazar,jama masjid,75,city sp zone
जामिया के पास,जामिया मिलिया इस्लामिया,जाकिर नगर,189,सेंट्रल ज़ोन
shadipur metro,shadipur,west patel nagar,85,karol bagh zone
mayapuri colony,mayapuri,hari nagar,99,west zone
मॉडल टाउन पार्ट 2,मॉडल टाउन 2,मॉडल टाउन,68,केशव पुरम ज़ोन
रोहिणी सेक ४,रोहिणी सेक्टर 4,विजय विहार,24,रोहिणी ज़ोन
trilokpuri block 28,trilokpuri block 28,trilokpuri,192,east zone
holambi village,holambi kalan village,holambi kalan,3,narela zone
कृषि कुंज इंद्रपुरी,कृषि कुंज,इंद्रपुरी,140,करोल बाग ज़ोन
bengalicolony,bengali colony,sant nagar,9,civil lines zone
rohini sect 6,rohini sector 6,rohini-e,53,rohini zone
ajmal khan rd karol bagh,ajmal khan road,karol bagh,83,karol bagh zone
dwrka sec 10,dwarka sector 10,dwarka - a,121,najafgarh zone
dakshinpuri blocks,dakshinpuri,dakshin puri,164,south zone
rk puram sec9,rk puram sector 9,r.k. puram,152,south zone
model town ph 1,model town 1,model town,68,keshav puram zone
raj nagar 2 palam,raj nagar part 2,manglapuri,119,najafgarh zone
metr vihar,metro vihar,holambi kalan,3,narela zone
pushp vihar s-7,pushp vihar sector 7,pushp vihar,166,south zone
मदनगीर विलेज,मदनगीर गाँव,मदनगीर,165,साउथ ज़ोन
vidhan sabha region,vidhan sabha area,civil lines,73,civil lines zone
kushak number 1,kushak no. 1,kadipur,7,civil lines zone
gokulpuri market,gokulpuri (parts),joharipur,240,shahdara north zone
galib haveli,ghalib ki haveli,ballimaran,79,city sp zone
निठारी एक्सटेंशन दिल्ली,निठारी एक्सटेंशन,निठारी,40,रोहिणी ज़ोन
sanjaycolony,sanjay colony,bhati,158,south zone
kalkajy main,kalkaji main,kalkaji,175,south zone
loni road,loni road area,ram nagar east,222,shahdara north zone
आया नगर गाँव,आया नगर गाँव,आया नगर,157,साउथ ज़ोन
सबापुर विलेज,सबापुर गांव,सबापुर,250,शाहदरा नॉर्थ ज़ोन
sarita vihar pocketc,sarita vihar pocket c,sarita vihar,187,south zone
डीआरडीओ ऑफिस तिमारपुर,डीआरडीओ आरएसी,तिमारपुर,11,सिविल लाइंस ज़ोन
rhni sec 6,rohini sector 6,rohini-e,53,rohini zone
